,Directory,Part_num,Num_var
3130,1,s1,2
10002,1,1,2
3849,2,s2,2
9227,2,2,2
9122,3,3,1
10732,4,4,1
10563,5,5,1
11324,6,6,1
4586,7,s7,2
11472,7,7,2
1169,8,8,2
6088,8,s8,2
1008,9,9,2
6330,9,s9,2
3273,10,10a,15
3776,10,10p08,15
3921,10,10,15
3972,10,10b,15
4174,10,10p09,15
5624,10,s10,15
5968,10,10p02,15
6432,10,10p03,15
6768,10,10p01,15
7500,10,10p0b,15
7517,10,10p04,15
7887,10,10p05,15
8245,10,10p0a,15
8261,10,10p07,15
8647,10,10p06,15
4029,11,11,2
5269,11,s11,2
280,12,s12c,5
438,12,s12b,5
1173,12,s12a,5
1837,12,s12d,5
3300,12,12,5
1726,13,s13a,2
3206,13,13,2
4782,14,14,1
4611,15,15,1
5385,16,16,1
5519,17,17,1
7036,18,18,1
6885,19,19,1
7640,20,20,1
7788,21,21,1
8532,22,22,1
6917,25,25,1
6142,26,26,1
162,27,27bc01,7
4902,27,27a,7
5225,27,27c,7
5675,27,27b,7
6276,27,27,7
6965,27,27cc01,7
7993,27,27ac01,7
4755,28,28,1
760,29,29cc01,8
1709,29,29ac01,8
4632,29,29,8
6373,29,29bc01,8
7453,29,29b,8
7955,29,29c,8
8174,29,29a,8
11079,29,29c01,8
7029,30,30,1
46,31,31ac01,7
2412,31,31cc01,7
4817,31,31a,7
5329,31,31c,7
5578,31,31b,7
6905,31,31,7
7944,31,31bc01,7
3950,32,32ac01,7
4387,32,32cc01,7
6090,32,32c,7
6150,32,32,7
6328,32,32b,7
7060,32,32a,7
11497,32,32bc01,7
3783,33,33cc01,7
4579,33,33ac01,7
6259,33,33,7
7567,33,33a,7
8345,33,33b,7
8575,33,33c,7
9208,33,33bc01,7
7614,34,34,5
9286,34,34a,5
9829,34,34c,5
10030,34,34b,5
11525,34,34d,5
7797,35,35,3
10521,35,35b,3
11275,35,35a,3
8531,36,36,1
8385,37,37,1
3902,38,38,1
4044,39,39,2
8913,39,39c01,2
11304,40,40,1
9176,43,43p01,3
10504,43,43ps1,3
10576,43,43,3
9246,44,44,1
9107,45,45,1
9994,47,47,1
2558,48,48,1
9232,50,50,1
9860,52,52,1
10740,56,56,1
10569,57,57,1
439,59,59,1
2601,60,60,2
9362,60,60c01,2
2409,61,61,1
1711,62,62,1
312,64,64,1
420,65,65,1
859,66,u66,6
1652,66,u66p01c02,6
1672,66,u66c02,6
2341,66,u66p01c01,6
2363,66,u66c01,6
11092,66,u66p01,6
500,67,67c01,2
1039,67,67,2
11335,68,68,1
2656,69,69c01,2
11446,69,69,2
330,70,70,1
1156,72,72,1
2418,75,75,1
1702,76,76,1
1874,77,77,1
9264,78,78,1
9083,79,79,1
10624,80,80,1
1767,89,89,3
4703,89,89a,3
5458,89,89b,3
9948,90,90,1
9910,91,91,1
9185,93,93,1
10615,94,94,1
10693,95,95,1
11421,96,96,1
11361,97,97,1
1061,98,98,1
1111,99,99,1
4691,100,100,1
4699,101,101,1
5470,102,102,1
577,103,103a,4
850,103,103c,4
1313,103,103b,4
5437,103,103,4
3997,104,104,1
3948,105,105,1
7749,108,108,1
7678,109,109,1
4003,110,110,1
3933,111,111,1
3229,112,112,1
4685,114,114,1
5453,116,116,1
5438,117,117,2
8643,117,117p47,2
6962,118,118,1
7710,120,120,1
7697,121,121,1
4627,122,122c01,3
5363,122,122c02,3
8437,122,122,3
8473,123,123,1
6939,124,124,1
6994,125,125,2
7653,125,125c01,2
6242,126,126,1
351,127,127c03-f2,9
1045,127,127c03-f1,9
1520,127,127c01-f1,9
2238,127,127c01-f2,9
5835,127,127c02,9
6164,127,127,9
6406,127,127c02-f1,9
6603,127,127c01,9
7152,127,127c02-f2,9
4666,128,128,1
4736,129,129,1
2513,132,132-old,2
6236,132,132,2
6184,133,133,1
7723,134,134,1
3973,138,138,1
11409,140,140,1
11372,141,141,1
10648,142,142,1
10659,143,143,1
9142,144,144,1
9220,145,145,1
9959,146,146,1
2474,148,148,1
2545,149,149,1
9145,150,150,1
586,151,u151,2
9203,151,151,2
9981,152,152,1
9889,153,153,1
11407,154,154,1
11389,155,155,1
10667,157,157,1
389,158,158,1
361,159,159,1
2522,161,161,1
1783,163,163,1
408,164,164,3
10564,164,164c02,3
11313,164,164c01,3
344,165,165,1
1056,166,166,1
1109,167,167,1
11365,169,169,1
392,170,170,2
7783,170,170c01,2
349,171,171,1
1052,172,172,1
1125,173,173,1
2503,174,174,1
2514,175,175,1
1800,176,176,1
1763,177,177,1
9164,178,178,1
9201,179,179,1
10702,180,180,1
10601,181,181,1
1656,182,182c01,2
11326,182,182,2
11459,183,183,1
9848,184,184,1
10008,185,185,3
10547,185,185c01,3
11289,185,185c02,3
9268,186,186,1
9088,187,187,2
9709,187,187c01,2
1700,188,188,1
1863,189,189,2
10430,189,189c01,2
6414,193,193b,3
7181,193,193a,3
9100,193,193,3
10709,194,194,1
10591,195,195,1
11344,196,196,1
2714,197,u197,2
11449,197,197,2
1130,198,198,1
1031,199,199,1
1962,200,200,1
2304,202,202,1
2693,203,203,1
1286,205,205,1
20,206,206a,3
564,206,206,3
737,206,206b,3
10443,208,208,2
11012,208,208c01,2
10860,209,209,1
890,210,210,1
1270,211,211,1
566,212,212,1
2302,216,216,1
2708,217,217,1
1591,229,229,1
9715,231,231,1
10459,234,234,1
3428,236,236a,3
4142,236,236b,3
11602,236,236,3
892,238,238,1
1263,239,239,1
8271,240,240,1
8637,241,241,1
5498,242,242c01,2
7897,242,242,2
7508,243,243,3
10401,243,243c01,3
11134,243,243c02,3
6416,244,244,1
5978,245,245,3
7780,245,245c02,3
8543,245,245c01,3
6757,246,246,1
213,247,247a,3
925,247,247b,3
7183,247,247,3
5676,248,248,1
5224,249,249,1
6435,250,250,1
5975,251,251,2
10561,251,251c01,2
6764,252,252,1
7890,256,256,1
7521,257,257,1
3066,258,258,1
3436,259,259,1
4512,262,262,2
9979,262,262p01,2
4888,263,263,1
3050,264,264,1
3453,265,265,6
5311,265,265ac01,6
9106,265,265b,6
9835,265,265a,6
9978,265,265bc01,6
10119,265,265c01,6
1550,266,266ac01,7
1736,266,266a,7
2446,266,266b,7
4202,266,266,7
5157,266,266c01,7
6585,266,266bc01,7
7304,266,266bc02,7
429,267,267b,3
1174,267,267a,3
3761,267,267,3
8228,268,268,1
8667,269,269,1
405,270,270c02,3
1105,270,270c01,3
3042,270,270,3
3472,271,271,1
4191,272,272,1
3764,273,273,1
5653,274,274,1
5245,275,275,1
3038,276,276c01,2
4521,276,276,2
4884,277,277,1
6395,278,278,1
7462,280,280,2
7468,280,280c01,2
7932,281,281,1
3841,285,285c01,2
6709,285,285,2
5938,286,286,1
6461,287,287,1
4948,288,288,1
4457,289,289,1
7205,290,290,1
6713,291,291,1
5925,292,292,1
6485,293,293,1
7483,294,294,1
7928,295,295,1
8693,296,296,1
8197,297,297,1
3741,298,298,2
11561,298,298c01,2
4226,299,299,1
5561,300,300,1
5336,301,301,1
4604,302,302,1
1858,303,303c01,2
4795,303,303,2
1860,304,304c08,9
3123,304,304,9
9095,304,304c06,9
9253,304,304c07,9
9837,304,304c05,9
10024,304,304c04,9
10713,304,304c01,9
11340,304,304c03,9
11454,304,304c02,9
3391,305,305,1
4093,306,306,1
3856,307,307,1
8344,308,308,1
5842,309,309p04,5
7368,309,309p02,5
8042,309,309p03,5
8110,309,309p01,5
8576,309,309,5
3853,313,313,1
2254,314,314d,3
2744,314,314e,3
5554,314,314,3
4591,316,316,1
4798,317,317,1
6327,318,318,1
8556,321,321,1
7803,322,322,3
9150,322,322c02,3
9882,322,322c01,3
7613,323,323,1
6346,324,324,1
3270,328,328b,2
3968,328,328a,2
6833,332,332,1
5074,334,u334,2
8360,334,334,2
1659,335,335c01,5
2373,335,335c02,5
8552,335,335,5
9294,335,335c01-f1,5
10057,335,335c01-f2,5
7816,336,336,1
7590,337,337,1
3147,338,338,1
3369,339,339,1
10548,340,340,1
5507,342,342c01,2
11506,342,342,2
11290,343,343,1
