id,part_number,label,category,moved_to
p/t01q0702.dat,t01q0702,Torus Tube  1 x 0.0702 x 1.0,Torus,False
p/1-4cyls.dat,1-4cyls,Cylinder Sloped 0.25,Cylinder,False
p/axleconnect.dat,axleconnect,Technic Axle to Connector Hole Perpendicular Joint 0.5,Technic,False
p/type-swiss721bt-bold-uc.dat,type-swiss721bt-bold-uc,"Type Swiss721BT Upper Case ""C"" Bold",Type,False
p/1-4rin34.dat,1-4rin34,Ring 34 x 0.25,Ring,False
p/2-4ring43.dat,2-4ring43,Ring 43 x 0.5,Ring,False
p/stu24f3n.dat,stu24f3n,,,"0 ~Moved to 8\stud4f3n
"
p/1-4rin12.dat,1-4rin12,Ring 12 x 0.25,Ring,False
p/rect2p.dat,rect2p,Rectangle with 2 Parallel Edges,Rectangle,False
p/4-4cylse.dat,4-4cylse,Cylinder Sloped 1.0 with Edge,Cylinder,False
p/stug3.dat,stug3,,,"0 ~Moved to stug-3x3
"
p/4-4cylc.dat,4-4cylc,Cylinder Closed 1.0,Cylinder,False
p/stug4a.dat,stug4a,,,"0 ~Moved to stug2-4x4
"
p/clip11.dat,clip11,Top Clip with Rounded Tips,Top,False
p/4-4con24.dat,4-4con24,Cone 24 x 1.0,Cone,False
p/stug3-1x2.dat,stug3-1x2,Stud Tube Solid Group  1 x  2,Stud,False
p/stug3-1x5.dat,stug3-1x5,Stud Tube Solid Group  1 x  5,Stud,False
p/npeghol17.dat,npeghol17,Technic Peg Hole Negative with Cut Corners,Technic,False
p/box5-2p.dat,box5-2p,Box with 5 Faces without 2 Parallel Edges,Box,False
p/type-swiss721bt-bold-us.dat,type-swiss721bt-bold-us,"Type Swiss721BT Upper Case ""S"" Bold",Type,False
p/stug7-6x6.dat,stug7-6x6,Stud Duplo Open Group  6 x  6,Stud,False
p/3-8con7.dat,3-8con7,Cone  7 x 0.375,Cone,False
p/3-4ring8.dat,3-4ring8,Ring  8 x 0.75,Ring,False
p/1-4rin11.dat,1-4rin11,Ring 11 x 0.25,Ring,False
p/knob1.dat,knob1,Minifig Arm Knob,Minifig,False
p/2-4ring32.dat,2-4ring32,Ring 32 x 0.5,Ring,False
p/t04i2258.dat,t04i2258,Torus Inside  1 x 0.2258 x 0.25,Torus,False
p/stug2-12x1.dat,stug2-12x1,Stud Open Group 12 x  1,Stud,False
p/t04o2500.dat,t04o2500,Torus Outside  1 x 0.2500 x 0.25,Torus,False
p/4-4con11.dat,4-4con11,Cone 11 x 1.0,Cone,False
p/stug-5x1.dat,stug-5x1,Stud Group  5 x  1,Stud,False
p/t04o0625.dat,t04o0625,Torus Outside  1 x 0.0625 x 0.25,Torus,False
p/stu216.dat,stu216,,,"0 ~Moved to 8\stud16
"
p/2-4ring37.dat,2-4ring37,Ring 37 x 0.5,Ring,False
p/box3-12.dat,box3-12,Box with 3 Adjacent Faces without Any Edges,Box,False
p/stu217.dat,stu217,,,"0 ~Moved to 8\stud17
"
p/stud25.dat,stud25,Stud Quatro Tube Open,Stud,False
p/clh3.dat,clh3,Click Lock Hinge Single Finger for Arms,Click,False
p/tri3u1.dat,tri3u1,Triangular Prism with 3 Faces without 1 Edge,Triangular,False
p/rect.dat,rect,Rectangle,Rectangle,False
p/2-4ring19.dat,2-4ring19,Ring 19 x 0.5,Ring,False
p/2-4cyli2.dat,2-4cyli2,Cylinder 0.5 without Conditional Lines,Cylinder,False
p/t04i0625.dat,t04i0625,Torus Inside  1 x 0.0625 x 0.25,Torus,False
p/stud14.dat,stud14,Stud Quatro,Stud,False
p/1-16cyli.dat,1-16cyli,Cylinder 0.0625,Cylinder,False
p/1-8sphc.dat,1-8sphc,Sphere 0.175 x  1.1414 Cut Off,Sphere,False
p/4-4disc.dat,4-4disc,Disc 1.0,Disc,False
p/3-16con2.dat,3-16con2,Cone  2 x 0.1875,Cone,False
p/1-8ring12.dat,1-8ring12,Ring 12 x 0.125,Ring,False
p/4-4con46.dat,4-4con46,Cone 46 x 1.0,Cone,False
p/t01o4286.dat,t01o4286,Torus Outside  1 x 0.4286 x 1,Torus,False
p/2-4cylj1x1.dat,2-4cylj1x1,Cylinder 0.5 Junction,Cylinder,False
p/t08o2000.dat,t08o2000,Torus Outside  1 x 0.2000 x 0.125,Torus,False
p/wpin2.dat,wpin2,Wheel Holding Pin with 2 Fillets,Wheel,False
p/3-8ndis.dat,3-8ndis,Disc Negative 0.375,Disc,False
p/stud4f1n.dat,stud4f1n,Stud Tube Open with  1 Fillet Narrow,Stud,False
p/1-16rin2.dat,1-16rin2,Ring  2 x 0.0625,Ring,False
p/4-4con6.dat,4-4con6,Cone  6 x 1.0,Cone,False
p/1-4rin38.dat,1-4rin38,Ring 38 x 0.25,Ring,False
p/axl2hole.dat,axl2hole,Technic Axle Hole Reduced Closed,Technic,False
p/1-16edge.dat,1-16edge,Circle 0.0625,Circle,False
p/1-8con27.dat,1-8con27,Cone 27 x 0.125,Cone,False
p/stug-1x3.dat,stug-1x3,Stud Group  1 x  3,Stud,False
p/4-4rin36.dat,4-4rin36,Ring 36 x 1.0,Ring,False
p/znap5.dat,znap5,Znap Between Pegholes 5,Znap,False
p/1-8rin18.dat,1-8rin18,Ring 18 x 0.125,Ring,False
p/npeghol16.dat,npeghol16,Technic Peg Hole Corner 0.125,Technic,False
p/1-8rin39.dat,1-8rin39,Ring 39 x 0.125,Ring,False
p/type-swiss721bt-bold-lm.dat,type-swiss721bt-bold-lm,"Type Swiss721BT Lower Case ""m"" Bold",Type,False
p/t01i3333.dat,t01i3333,Torus Inside  1 x 0.3333 x 1,Torus,False
p/4-4con2.dat,4-4con2,Cone  2 x 1.0,Cone,False
p/stud10.dat,stud10,Stud Truncated Laterally Curved 40D for Round  2 x  2 Parts,Stud,False
p/stud23.dat,stud23,Stud Tube Open Square,Stud,False
p/1-4con6.dat,1-4con6,Cone  6 x 0.25,Cone,False
p/znap6.dat,znap6,Znap Beam End,Znap,False
p/4-4rin15.dat,4-4rin15,Ring 15 x 1.0,Ring,False
p/connect5.dat,connect5,Technic Pin 1.0 with Base Collar and Slots,Technic,False
p/stug4-1x2.dat,stug4-1x2,Stud Tube Open Group  1 x  2,Stud,False
p/4-4ring5.dat,4-4ring5,Ring  5 x 1.0,Ring,False
p/7-8ring8.dat,7-8ring8,Ring  8 x 0.875,Ring,False
p/stud2s.dat,stud2s,Stud Tube Open Sliced,Stud,False
p/1-16rin4.dat,1-16rin4,Ring  4 x 0.0625,Ring,False
p/type-swiss721bt-bold-n2.dat,type-swiss721bt-bold-n2,"Type Swiss721BT Number ""2"" Bold",Type,False
p/bush1.dat,bush1,Technic Bush Collar 0.25,Technic,False
p/2-4cylc.dat,2-4cylc,Cylinder Closed 0.5,Cylinder,False
p/axl2hol8.dat,axl2hol8,Technic Axle Hole Reduced Perimeter,Technic,False
p/stug7-1x6.dat,stug7-1x6,Stud Duplo Open Group  1 x  6,Stud,False
p/npeghol12.dat,npeghol12,Technic Peg Hole with Extended Perimeter (One Side) and Surface,Technic,False
p/tooth8.dat,tooth8,Single Tooth for Technic Gear  8 Tooth,Single,False
p/t04o6667.dat,t04o6667,Torus Outside  1 x 0.6667 x 0.25,Torus,False
p/7-8rin16.dat,7-8rin16,Ring 16 x 0.875,Ring,False
p/7-8cyli.dat,7-8cyli,Cylinder 0.875,Cylinder,False
p/11-16cyli.dat,11-16cyli,Cylinder 0.6875,Cylinder,False
p/7-16ring6.dat,7-16ring6,Ring  6 x 0.4375,Ring,False
p/t04o1765.dat,t04o1765,Torus Outside  1 x 0.1765 x 0.25,Torus,False
p/4-4cyl1sph2.dat,4-4cyl1sph2,Cylinder  1 LDU Truncated to Fit Sphere  2 LDU,Cylinder,False
p/3-8ring6.dat,3-8ring6,Ring  6 x 0.375,Ring,False
p/tri3a1.dat,tri3a1,Triangular Prism with 3 Adjacent Faces without 1 Edge,Triangular,False
p/type-swiss721bt-bold-ul.dat,type-swiss721bt-bold-ul,"Type Swiss721BT Upper Case ""L"" Bold",Type,False
p/1-8edge.dat,1-8edge,Circle 0.125,Circle,False
p/t04i5455.dat,t04i5455,Torus Inside  1 x 0.5455 x 0.25,Torus,False
p/1-16rin1.dat,1-16rin1,Ring  1 x 0.0625,Ring,False
p/4-4rin43.dat,4-4rin43,Ring 43 x 1.0,Ring,False
p/t16i0909.dat,t16i0909,Torus Inside  1 x 0.0909 x 0.0625,Torus,False
p/stug2-1x8.dat,stug2-1x8,Stud Open Group  1 x  8,Stud,False
p/4-4con13.dat,4-4con13,Cone 13 x 1.0,Cone,False
p/box4-7a.dat,box4-7a,Box with 4 Faces without 7 Adjacent Edges,Box,False
p/stu210.dat,stu210,,,"0 ~Moved to 8\stud10
"
p/3-16rin7.dat,3-16rin7,Ring  7 x 0.1875,Ring,False
p/stud20.dat,stud20,Stud Duplo,Stud,False
p/typestn0.dat,typestn0,Type Stencil Number 0,Type,False
p/studline.dat,studline,Stud Placeholder (SuperFast-Draw),Stud,False
p/stud4f3n.dat,stud4f3n,Stud Tube Open with  3 Fillets Narrow,Stud,False
p/stu24f2w.dat,stu24f2w,,,"0 ~Moved to 8\stud4f2w
"
p/4-4rin77.dat,4-4rin77,Ring 77 x 1.0,Ring,False
p/1-4rin17.dat,1-4rin17,Ring 17 x 0.25,Ring,False
p/fric.dat,fric,Technic Pin Friction Rib Short with Rounded End,Technic,False
p/4-4ring7.dat,4-4ring7,Ring  7 x 1.0,Ring,False
p/stu24f2n.dat,stu24f2n,,,"0 ~Moved to 8\stud4f2n
"
p/stugp01-1x3.dat,stugp01-1x3,Stud with Dot Pattern Group  1 x  3,Stud,False
p/2-4con1.dat,2-4con1,Cone  1 x 0.5,Cone,False
p/3-4cylo.dat,3-4cylo,Cylinder Open 0.75,Cylinder,False
