id,label,category
30103,Animal Bat,Animal
95827,Animal Beetle with Stud Tube and Pin Hole,Animal
13665,Animal Bird Crow,Animal
2546,Animal Bird Parrot,Animal
2546p02,Animal Bird Parrot with Blended Green Wings and Tail Pattern,Animal
2546p01,Animal Bird Parrot with White Face and Yellow/Green Wings Pattern,Animal
81379,Animal Bird Parrot with Yellow/Green Wings Pattern Red,Animal
11091,Animal Bird Wing  9L with Stylized Feathers,Animal
30462,Animal Body Legs (Needs Work),Animal
95828,Animal Butterfly with Stud Tube and Pin Hole,Animal
6251,Animal Cat Crouching,Animal
93089,Animal Cat Standing Looking Left,Animal
93089p02,Animal Cat Standing Looking Left with Bright Light Blue Eyes and Light Bluish Grey Muzzle Pattern,Animal
93089p03,Animal Cat Standing Looking Left with Tan Eyes and Brown Stripes Pattern,Animal
93089p01,Animal Cat Standing Looking Left with Yellowish Green Eyes and Dark Bluish Grey Stripes Pattern,Animal
15429,Animal Cat Tail,Animal
15429p01,Animal Cat Tail with Medium Blue Stripe Pattern,Animal
15429p03,Animal Cat Tail with Orange Flame Stripe Pattern,Animal
15429p02,Animal Cat Tail with Yellowish Green Stripe Pattern,Animal
87695,Animal Cattlehorns,Animal
95342,Animal Chicken,Animal
95342p01,Animal Chicken with Red Comb Pattern,Animal
4624282,Animal Chicken with Red Comb Pattern Dark Tan,Animal
96143,Animal Chicken with Red Comb Pattern Dark Tan,Animal
4623959,Animal Chicken with Red Comb Pattern White,Animal
96094,Animal Chicken with Red Comb Pattern White,Animal
98136,Animal Cobra Threatening,Animal
64452,Animal Cow,Animal
64779c01,Animal Cow Body,Animal
64779,Animal Cow Body Left,Animal
64779p01,Animal Cow Body Left with Black Spots Pattern,Animal
64778,Animal Cow Body Right,Animal
64778p01,Animal Cow Body Right with Black Spots Pattern,Animal
64779p01c01,Animal Cow Body with Black Spots Pattern,Animal
64835c01,Animal Cow Head,Animal
64835,Animal Cow Head Left,Animal
64835p01,"Animal Cow Head Left with Blaze, Muzzle and Eye Pattern",Animal
64835p02,Animal Cow Head Left with White Eye and Blaze Pattern,Animal
64780,Animal Cow Head Right,Animal
64780p01,"Animal Cow Head Right with Blaze, Muzzle and Eye Pattern",Animal
64780p02,Animal Cow Head Right with White Eye and Blaze Pattern,Animal
64835p01c01,"Animal Cow Head with Blaze, Muzzle and Eye Pattern",Animal
64835p02c01,Animal Cow Head with White Eyes and Blaze Pattern,Animal
64847,Animal Cow Horn,Animal
13564,Animal Cow Horn  2.25L,Animal
64452p02,Animal Cow with Black Spots and Black Head with White Blaze ,Animal
64452p01,"Animal Cow with Head with Blaze, Muzzle and Eye Pattern",Animal
33121,Animal Crab,Animal
6026c01,Animal Crocodile (Complete),Animal
6026,Animal Crocodile Body,Animal
40375,Animal Dinosaur Body Neck/Tail Ring,Animal
76443,Animal Dinosaur Body Stegosaurus (Complete),Animal
76442,Animal Dinosaur Body Triceratops (Complete),Animal
